time,latitude,longitude,depth_pressure,TEMPERATURE,SALINITY
27660.65525462963,11.481,86.565,1937.5,2.911,34.785
27660.65525462963,11.481,86.565,1962.7,2.857,34.782
27660.65525462963,11.481,86.565,1975.8,2.833,34.782
27660.57314814815,-15.65407833,89.88003166666667,0.2,26.512,34.481
27660.57314814815,-15.65407833,89.88003166666667,1.3,26.516,34.478
27660.57314814815,-15.65407833,89.88003166666667,3.6,26.517,34.48
27660.57314814815,-15.65407833,89.88003166666667,5.2,26.516,34.481
27660.57314814815,-15.65407833,89.88003166666667,6,26.518,34.48
27660.57314814815,-15.65407833,89.88003166666667,7.7,26.52,34.48
27660.57314814815,-15.65407833,89.88003166666667,9.3,26.521,34.48
27660.57314814815,-15.65407833,89.88003166666667,11.1,26.519,34.48
27660.57314814815,-15.65407833,89.88003166666667,13.4,26.519,34.48
27660.57314814815,-15.65407833,89.88003166666667,15.8,26.52,34.48
27660.57314814815,-15.65407833,89.88003166666667,17.7,26.525,34.48
27660.57314814815,-15.65407833,89.88003166666667,19.2,26.526,34.481
27660.57314814815,-15.65407833,89.88003166666667,21.2,26.527,34.481
27660.57314814815,-15.65407833,89.88003166666667,23.2,26.528,34.482
27660.57314814815,-15.65407833,89.88003166666667,25.1,26.528,34.482
27660.57314814815,-15.65407833,89.88003166666667,27.6,26.529,34.481
27660.57314814815,-15.65407833,89.88003166666667,29.6,26.529,34.481
27660.57314814815,-15.65407833,89.88003166666667,31.5,26.53,34.482
27660.57314814815,-15.65407833,89.88003166666667,33.5,26.531,34.481
27660.57314814815,-15.65407833,89.88003166666667,35.4,26.531,34.481
27660.57314814815,-15.65407833,89.88003166666667,37.3,26.531,34.481
27660.57314814815,-15.65407833,89.88003166666667,39.1,26.53,34.481
27660.57314814815,-15.65407833,89.88003166666667,41.6,26.532,34.482
27660.57314814815,-15.65407833,89.88003166666667,43.5,26.533,34.481
27660.57314814815,-15.65407833,89.88003166666667,45.2,26.533,34.481
27660.57314814815,-15.65407833,89.88003166666667,47.8,26.53,34.483
27660.57314814815,-15.65407833,89.88003166666667,49.6,26.531,34.482
27660.57314814815,-15.65407833,89.88003166666667,51.3,26.532,34.482
27660.57314814815,-15.65407833,89.88003166666667,53.6,26.529,34.483
27660.57314814815,-15.65407833,89.88003166666667,55.8,26.516,34.488
27660.57314814815,-15.65407833,89.88003166666667,57.9,26.498,34.497
27660.57314814815,-15.65407833,89.88003166666667,59.6,26.488,34.502
27660.57314814815,-15.65407833,89.88003166666667,61.6,26.436,34.529
27660.57314814815,-15.65407833,89.88003166666667,63.4,26.374,34.564
27660.57314814815,-15.65407833,89.88003166666667,65.2,26.271,34.622
27660.57314814815,-15.65407833,89.88003166666667,67.4,26.062,34.722
27660.57314814815,-15.65407833,89.88003166666667,69.6,25.646,34.812
27660.57314814815,-15.65407833,89.88003166666667,71.3,24.765,34.926
27660.57314814815,-15.65407833,89.88003166666667,73.3,23.052,35.119
27660.57314814815,-15.65407833,89.88003166666667,75.3,22.082,35.27
27660.57314814815,-15.65407833,89.88003166666667,77.4,21.922,35.308
27660.57314814815,-15.65407833,89.88003166666667,79.2,21.788,35.322
27660.57314814815,-15.65407833,89.88003166666667,81.3,21.456,35.361
27660.57314814815,-15.65407833,89.88003166666667,83.4,21.285,35.378
27660.57314814815,-15.65407833,89.88003166666667,85.4,21.075,35.387
27660.57314814815,-15.65407833,89.88003166666667,87.4,21.004,35.389
27660.57314814815,-15.65407833,89.88003166666667,89.5,20.958,35.413
27660.57314814815,-15.65407833,89.88003166666667,91.2,20.881,35.418
27660.57314814815,-15.65407833,89.88003166666667,93.3,20.872,35.416
27660.57314814815,-15.65407833,89.88003166666667,95.6,20.838,35.411
27660.57314814815,-15.65407833,89.88003166666667,97.7,20.685,35.396
27660.57314814815,-15.65407833,89.88003166666667,99.4,20.429,35.379
27660.57314814815,-15.65407833,89.88003166666667,101.2,20.318,35.371
27660.57314814815,-15.65407833,89.88003166666667,103,20.243,35.378
27660.57314814815,-15.65407833,89.88003166666667,105.4,20.187,35.397
27660.57314814815,-15.65407833,89.88003166666667,107.8,20.087,35.416
27660.57314814815,-15.65407833,89.88003166666667,109.9,19.869,35.414
27660.57314814815,-15.65407833,89.88003166666667,111.5,19.626,35.403
27660.57314814815,-15.65407833,89.88003166666667,113.1,19.523,35.383
27660.57314814815,-15.65407833,89.88003166666667,115.2,19.458,35.383
27660.57314814815,-15.65407833,89.88003166666667,117.3,19.453,35.388
27660.57314814815,-15.65407833,89.88003166666667,119.4,19.453,35.395
27660.57314814815,-15.65407833,89.88003166666667,121.5,19.415,35.403
27660.57314814815,-15.65407833,89.88003166666667,123.6,19.417,35.41
27660.57314814815,-15.65407833,89.88003166666667,125.6,19.302,35.434
27660.57314814815,-15.65407833,89.88003166666667,127.7,19.142,35.44
27660.57314814815,-15.65407833,89.88003166666667,129.7,19.088,35.444
27660.57314814815,-15.65407833,89.88003166666667,131.7,18.943,35.436
27660.57314814815,-15.65407833,89.88003166666667,133.6,18.805,35.405
27660.57314814815,-15.65407833,89.88003166666667,135.6,18.525,35.387
27660.57314814815,-15.65407833,89.88003166666667,137.6,18.437,35.404
27660.57314814815,-15.65407833,89.88003166666667,139.7,18.201,35.384
27660.57314814815,-15.65407833,89.88003166666667,141.7,18.161,35.375
27660.57314814815,-15.65407833,89.88003166666667,143.5,18.084,35.361
27660.57314814815,-15.65407833,89.88003166666667,145.3,17.848,35.324
27660.57314814815,-15.65407833,89.88003166666667,147.3,17.759,35.318
27660.57314814815,-15.65407833,89.88003166666667,149.2,17.777,35.329
27660.57314814815,-15.65407833,89.88003166666667,151.5,17.701,35.351
27660.57314814815,-15.65407833,89.88003166666667,153.7,17.469,35.377
27660.57314814815,-15.65407833,89.88003166666667,155.5,17.442,35.387
27660.57314814815,-15.65407833,89.88003166666667,157.3,17.398,35.38
27660.57314814815,-15.65407833,89.88003166666667,159.2,17.363,35.379
27660.57314814815,-15.65407833,89.88003166666667,161.1,17.358,35.393
27660.57314814815,-15.65407833,89.88003166666667,163.1,17.392,35.454
27660.57314814815,-15.65407833,89.88003166666667,165.1,17.4,35.486
27660.57314814815,-15.65407833,89.88003166666667,167,17.488,35.535
27660.57314814815,-15.65407833,89.88003166666667,169,17.532,35.573
27660.57314814815,-15.65407833,89.88003166666667,171,17.479,35.585
27660.57314814815,-15.65407833,89.88003166666667,173,17.277,35.57
