TIME                LATITUDE       LONGITUDE      DEPTH_PRESSURE      TEMP           
--------------------------------------------------------------------------------------
27660.6553          11.4810        86.5650        0.3000              29.0440        
27660.6553          11.4810        86.5650        0.8000              29.0430        
27660.6553          11.4810        86.5650        1.7000              29.0450        
27660.6553          11.4810        86.5650        2.9000              29.0440        
27660.6553          11.4810        86.5650        4.3000              29.0470        
27660.6553          11.4810        86.5650        5.2000              29.0480        
27660.6553          11.4810        86.5650        6.4000              29.0470        
27660.6553          11.4810        86.5650        7.4000              29.0480        
27660.6553          11.4810        86.5650        8.5000              29.0480        
27660.6553          11.4810        86.5650        9.7000              29.0500        
27660.6553          11.4810        86.5650        15.4000             29.0520        
27660.6553          11.4810        86.5650        25.3000             29.0530        
27660.6553          11.4810        86.5650        35.4000             29.0560        
27660.6553          11.4810        86.5650        46.0000             29.0610        
27660.6553          11.4810        86.5650        54.8000             28.7330        
27660.6553          11.4810        86.5650        65.6000             27.8700        
27660.6553          11.4810        86.5650        74.9000             26.4120        
27660.6553          11.4810        86.5650        85.7000             25.3460        
27660.6553          11.4810        86.5650        95.3000             23.0870        
27660.6553          11.4810        86.5650        105.5000            21.8420        
27660.6553          11.4810        86.5650        115.9000            20.7110        
27660.6553          11.4810        86.5650        125.6000            19.7480        
27660.6553          11.4810        86.5650        135.3000            18.7020        
27660.6553          11.4810        86.5650        145.3000            17.6730        
27660.6553          11.4810        86.5650        156.3000            16.4930        
27660.6553          11.4810        86.5650        165.2000            15.6800        
27660.6553          11.4810        86.5650        175.2000            14.8740        
27660.6553          11.4810        86.5650        185.5000            14.3360        
27660.6553          11.4810        86.5650        195.7000            13.8530        
27660.6553          11.4810        86.5650        212.8000            13.2480        
27660.6553          11.4810        86.5650        238.2000            12.5700        
27660.6553          11.4810        86.5650        262.9000            12.0980        
27660.6553          11.4810        86.5650        287.6000            11.6680        
27660.6553          11.4810        86.5650        314.1000            11.3170        
27660.6553          11.4810        86.5650        338.1000            11.0770        
27660.6553          11.4810        86.5650        362.8000            10.8450        
27660.6553          11.4810        86.5650        387.8000            10.6300        
27660.6553          11.4810        86.5650        412.6000            10.4290        
27660.6553          11.4810        86.5650        437.7000            10.1870        
27660.6553          11.4810        86.5650        462.9000            9.9830         
27660.6553          11.4810        86.5650        487.7000            9.7720         
27660.6553          11.4810        86.5650        512.9000            9.5950         
27660.6553          11.4810        86.5650        538.0000            9.4500         
27660.6553          11.4810        86.5650        562.8000            9.2730         
27660.6553          11.4810        86.5650        588.4000            9.0830         
27660.6553          11.4810        86.5650        612.8000            8.9220         
27660.6553          11.4810        86.5650        637.6000            8.7750         
27660.6553          11.4810        86.5650        662.8000            8.6270         
27660.6553          11.4810        86.5650        687.7000            8.4940         
27660.6553          11.4810        86.5650        712.5000            8.3310         
27660.6553          11.4810        86.5650        737.6000            8.1840         
27660.6553          11.4810        86.5650        762.7000            8.0260         
27660.6553          11.4810        86.5650        787.9000            7.8620         
27660.6553          11.4810        86.5650        812.5000            7.7100         
27660.6553          11.4810        86.5650        837.2000            7.5600         
27660.6553          11.4810        86.5650        862.7000            7.4290         
27660.6553          11.4810        86.5650        889.5000            7.2790         
27660.6553          11.4810        86.5650        912.9000            7.1240         
27660.6553          11.4810        86.5650        937.8000            7.0410         
27660.6553          11.4810        86.5650        962.6000            6.8980         
27660.6553          11.4810        86.5650        987.9000            6.7500         
27660.6553          11.4810        86.5650        1013.2000           6.6250         
27660.6553          11.4810        86.5650        1037.8000           6.4730         
27660.6553          11.4810        86.5650        1062.4000           6.3320         
27660.6553          11.4810        86.5650        1087.6000           6.1990         
27660.6553          11.4810        86.5650        1112.7000           6.0810         
27660.6553          11.4810        86.5650        1137.6000           5.9760         
27660.6553          11.4810        86.5650        1162.6000           5.8540         
27660.6553          11.4810        86.5650        1187.7000           5.7510         
27660.6553          11.4810        86.5650        1212.7000           5.6360         
27660.6553          11.4810        86.5650        1238.4000           5.5310         
27660.6553          11.4810        86.5650        1262.8000           5.4370         
27660.6553          11.4810        86.5650        1287.6000           5.3400         
27660.6553          11.4810        86.5650        1312.9000           5.2350         
27660.6553          11.4810        86.5650        1337.8000           5.1230         
27660.6553          11.4810        86.5650        1362.8000           5.0200         
27660.6553          11.4810        86.5650        1387.9000           4.9220         
